Reaction_type,Reactant1_smiles,Reactant1_name,Reactant1_amount,Reactant2_smiles,Reactant2_name,Reactant2_amount,Product1_smiles,Product_name,Product1_yield,mechanical_treatment,treatmant_duration,treatment_magnitude ,URL,,
Sonogashira,C#C[Si](C)(C)C,trimethylsilylacetylene,1.05,BrC1=CC=C(Br)C=C1,"1,4-dibromobenzene",0.98,C[Si](C)(C#CC1=CC=C(Br)C=C1)C,((4-bromophenyl)ethynyl)trimethylsilane,4.32,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#CC1=CC=CC=C1,phenylactylene,1.05,BrC1=CC=C(Br)C=C1,"1,4-dibromobenzene",0.98,BrC1=CC=C(C#CC2=CC=CC=C2)C=C1,1-bromo-4-(phenylethynyl)benzene,0,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#C[Si](C)(C)C,trimethylsilylacetylene,1.05,BrC1=CC=CC=C1Br,"1,2-dibromobenzene",0.98,C[Si](C)(C#CC1=CC=CC=C1Br)C,((2-bromophenyl)ethynyl)trimethylsilane,0,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#CC1=CC=CC=C1,phenylactylene,1.05,BrC1=CC=CC=C1Br,"1,2-dibromobenzene",0.98,BrC1=CC=CC=C1C#CC2=CC=CC=C2,1-bromo-2-(phenylethynyl)benzene,0,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#C[Si](C)(C)C,trimethylsilylacetylene,1.05,IC1=CC=C([H])C=C1,iodobenzene,0.98,C[Si](C)(C)C#CC1=CC=CC=C1,trimethyl(phenylethynyl)silane,95,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#C[Si](C)(C)C,trimethylsilylacetylene,1.05,IC1=CC=C(C)C=C1,1-iodo-4-methylbenzene,0.98,CC1=CC=C(C#C[Si](C)(C)C)C=C1,trimethyl(p-tolylethynyl)silane,84,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#C[Si](C)(C)C,trimethylsilylacetylene,1.05,IC1=CC=C(Br)C=C1,1-bromo-4-iodobenzene,0.98,C[Si](C)(C#CC1=CC=C(Br)C=C1)C,((4-bromophenyl)ethynyl)trimethylsilane,88,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#C[Si](C)(C)C,trimethylsilylacetylene,1.05,IC1=CC=C(Cl)C=C1,1-chloro-4-iodobenzene,0.98,C[Si](C)(C#CC1=CC=C(Cl)C=C1)C,((4-chlorophenyl)ethynyl)trimethylsilane,87,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#C[Si](C)(C)C,trimethylsilylacetylene,1.05,IC1=CC=C(OC)C=C1,1-iodo-4-methoxybenzene,0.98,C[Si](C)(C#CC1=CC=C(OC)C=C1)C,((4-methoxyphenyl)ethynyl)trimethylsilane,84,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
Sonogashira,C#C[Si](C)(C)C,trimethylsilylacetylene,1.05,BrC1=CC=C(C=O)C=C1,4-bromobenzaldehyde,0.98,O=CC1=CC=C(C#C[Si](C)(C)C)C=C1,4-((trimethylsilyl)ethynyl)benzaldehyde,87,Ball Mill,17,,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k,https://pubs.rsc.org/en/content/articlelanding/2009/gc/b915669k
